Name,depart_time,price,depart_time_hour,depart_time_minute
대한항공,07:00,168984,7,0
티웨이항공,07:55,73390,7,55
이스타항공,08:10,80170,8,10
대한항공,08:10,114916,8,10
아시아나항공,08:20,83729,8,20
이스타항공,08:30,80170,8,30
아시아나항공,08:45,67967,8,45
티웨이항공,08:45,73390,8,45
이스타항공,08:50,75763,8,50
이스타항공,09:05,85763,9,5
대한항공,09:10,114916,9,10
아시아나항공,09:20,83729,9,20
에어부산,09:40,69831,9,40
제주항공,09:45,88306,9,45
이스타항공,09:50,80170,9,50
티웨이항공,10:00,70170,10,0
대한항공,10:10,114916,10,10
아시아나항공,10:20,83729,10,20
대한항공,10:20,114916,10,20
제주항공,10:35,64916,10,35
제주항공,10:50,72543,10,50
티웨이항공,11:05,76611,11,5
대한항공,11:10,114916,11,10
티웨이항공,11:35,69153,11,35
이스타항공,11:35,80170,11,35
티웨이항공,11:40,69153,11,40
제주항공,11:40,72543,11,40
대한항공,11:40,114916,11,40
대한항공,12:00,114916,12,0
제주항공,12:05,72543,12,5
아시아나항공,12:10,83729,12,10
티웨이항공,12:15,73390,12,15
제주항공,12:20,78645,12,20
아시아나항공,12:35,61526,12,35
이스타항공,12:45,80170,12,45
대한항공,12:50,114916,12,50
이스타항공,13:00,85763,13,0
대한항공,13:00,114916,13,0
에어부산,13:10,69831,13,10
아시아나항공,13:10,90170,13,10
제주항공,13:25,84238,13,25
티웨이항공,13:30,73390,13,30
이스타항공,13:30,80170,13,30
대한항공,13:45,114916,13,45
제주항공,14:00,92543,14,0
아시아나항공,14:10,97797,14,10
아시아나항공,14:20,97797,14,20
대한항공,14:30,114916,14,30
이스타항공,14:45,91356,14,45
이스타항공,14:55,91356,14,55
티웨이항공,15:05,86272,15,5
대한항공,15:10,114916,15,10
대한항공,15:20,114916,15,20
대한항공,15:40,114916,15,40
티웨이항공,15:50,90509,15,50
아시아나항공,15:50,97797,15,50
아시아나항공,15:55,97797,15,55
대한항공,16:10,114916,16,10
에어부산,16:20,86441,16,20
티웨이항공,16:20,90509,16,20
아시아나항공,16:25,97797,16,25
제주항공,16:25,97967,16,25
아시아나항공,16:55,97797,16,55
아시아나항공,17:00,106272,17,0
대한항공,17:00,114916,17,0
제주항공,17:20,97967,17,20
대한항공,17:20,114916,17,20
이스타항공,17:35,108306,17,35
아시아나항공,17:40,115594,17,40
제주항공,17:50,97967,17,50
대한항공,18:05,114916,18,5
대한항공,18:15,114916,18,15
이스타항공,18:25,108306,18,25
대한항공,18:40,114916,18,40
대한항공,19:00,114916,19,0
아시아나항공,19:00,115594,19,0
아시아나항공,19:30,115594,19,30
대한항공,19:50,114916,19,50
아시아나항공,19:50,115594,19,50
아시아나항공,20:20,115594,20,20
티웨이항공,20:30,97967,20,30
대한항공,20:30,114916,20,30
티웨이항공,20:35,94916,20,35
제주항공,20:50,97967,20,50
아시아나항공,20:50,106272,20,50
대한항공,20:50,114916,20,50
아시아나항공,20:55,106272,20,55
제주항공,21:05,97967,21,5
대한항공,21:05,114916,21,5
제주항공,21:10,97967,21,10
이스타항공,21:15,108306,21,15
에어부산,21:20,94916,21,20
제주항공,21:20,111187,21,20
