Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:54,05:54,06:54,05:54,05:54,blank,blank,blank,blank,blank,blank,06:45,blank,06:12,06:12,06:12,06:12
06:54,06:54,07:38,06:04,06:04,blank,blank,blank,blank,blank,blank,06:45,blank,06:22,06:22,07:08,06:22
07:38,07:38,11:20,06:25,06:45,blank,blank,blank,blank,blank,blank,06:54,blank,07:08,06:57,07:42,07:08
08:34,08:34,14:23,06:54,06:45,blank,blank,blank,blank,blank,blank,08:24,blank,07:32,07:08,07:57,07:42
09:14,09:14,16:24,07:15,06:54,blank,blank,blank,blank,blank,blank,08:34,blank,07:42,07:42,09:04,07:57
10:44,10:44,20:13,07:38,08:24,blank,blank,blank,blank,blank,blank,08:58,blank,07:57,07:57,09:35,09:04
11:20,13:29,22:35,08:58,08:34,blank,blank,blank,blank,blank,blank,11:49,blank,09:04,08:44,10:33,09:35
11:49,15:15,blank,09:14,08:58,blank,blank,blank,blank,blank,blank,11:59,blank,09:35,09:04,11:00,10:33
13:29,16:24,blank,09:39,09:05,blank,blank,blank,blank,blank,blank,13:38,blank,09:47,09:35,11:34,11:00
14:23,17:04,blank,11:20,09:39,blank,blank,blank,blank,blank,blank,15:03,blank,09:50,09:50,11:51,11:34
14:23,17:04,blank,11:20,09:39,blank,blank,blank,blank,blank,blank,15:03,blank,09:50,09:50,11:51,11:34
15:15,17:57,blank,11:59,10:44,blank,blank,blank,blank,blank,blank,15:15,blank,10:33,10:29,12:05,11:51
16:24,19:04,blank,12:16,12:16,blank,blank,blank,blank,blank,blank,15:45,blank,11:23,10:33,13:33,12:05
17:04,20:13,blank,12:16,12:16,blank,blank,blank,blank,blank,blank,15:45,blank,11:34,11:00,13:41,13:33
17:57,20:59,blank,13:38,13:45,blank,blank,blank,blank,blank,blank,16:38,blank,11:51,11:34,14:19,13:41
19:04,23:43,blank,13:45,14:09,blank,blank,blank,blank,blank,blank,17:04,blank,12:05,11:45,14:43,13:53
20:13,blank,blank,14:23,14:23,blank,blank,blank,blank,blank,blank,17:13,blank,12:33,11:51,14:50,14:19
20:59,blank,blank,14:38,14:38,blank,blank,blank,blank,blank,blank,19:04,blank,12:58,12:05,16:49,14:43
21:43,blank,blank,15:15,15:03,blank,blank,blank,blank,blank,blank,19:14,blank,13:33,13:31,16:53,14:50
22:35,blank,blank,17:04,15:20,blank,blank,blank,blank,blank,blank,19:42,blank,13:53,13:33,17:26,16:19
22:35,blank,blank,17:04,15:20,blank,blank,blank,blank,blank,blank,19:42,blank,13:53,13:33,17:26,16:19
23:43,blank,blank,17:13,16:38,blank,blank,blank,blank,blank,blank,20:13,blank,14:43,13:41,18:06,16:49
blank,blank,blank,18:16,17:04,blank,blank,blank,blank,blank,blank,20:59,blank,14:50,13:53,18:18,16:53
blank,blank,blank,18:16,17:57,blank,blank,blank,blank,blank,blank,21:14,blank,15:18,14:19,18:43,17:26
blank,blank,blank,18:30,18:30,blank,blank,blank,blank,blank,blank,21:29,blank,15:48,14:43,18:54,18:06
blank,blank,blank,19:04,18:56,blank,blank,blank,blank,blank,blank,21:43,blank,16:19,14:50,19:09,18:18
blank,blank,blank,19:14,19:04,blank,blank,blank,blank,blank,blank,22:35,blank,16:53,15:18,20:13,18:43
blank,blank,blank,20:26,19:14,blank,blank,blank,blank,blank,blank,blank,blank,17:04,16:19,20:25,18:54
blank,blank,blank,20:59,19:42,blank,blank,blank,blank,blank,blank,blank,blank,18:06,16:39,20:58,19:09
blank,blank,blank,21:29,20:13,blank,blank,blank,blank,blank,blank,blank,blank,18:18,16:49,21:32,20:13
blank,blank,blank,21:29,20:13,blank,blank,blank,blank,blank,blank,blank,blank,18:18,16:49,21:32,20:13
blank,blank,blank,22:13,20:59,blank,blank,blank,blank,blank,blank,blank,blank,18:43,16:53,21:53,20:25
blank,blank,blank,22:13,21:14,blank,blank,blank,blank,blank,blank,blank,blank,19:22,17:14,21:53,20:58
blank,blank,blank,23:43,21:43,blank,blank,blank,blank,blank,blank,blank,blank,19:47,17:26,22:27,21:32
blank,blank,blank,blank,22:13,blank,blank,blank,blank,blank,blank,blank,blank,19:55,18:06,23:43,21:53
blank,blank,blank,blank,22:13,blank,blank,blank,blank,blank,blank,blank,blank,20:13,18:18,blank,21:53
blank,blank,blank,blank,22:35,blank,blank,blank,blank,blank,blank,blank,blank,20:48,18:43,blank,22:27
blank,blank,blank,blank,23:23,blank,blank,blank,blank,blank,blank,blank,blank,20:58,18:54,blank,23:43
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:32,19:09,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:53,19:22,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:53,19:22,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:53,19:55,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:04,20:13,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:29,20:25,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:43,20:48,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:58,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:32,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:53,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:53,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:27,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:27,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:36,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:29,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:43,blank,blank
