Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
7,13,7,13,8,3,6,23,7,3,6,23,100,100,6,55,6,55,6,55,6,55,100,100,100,100,100,100,100,100,100,100,100,100
8,3,13,53,13,29,7,3,7,13,7,3,100,100,7,37,7,56,7,37,7,37,100,100,100,100,100,100,100,100,100,100,100,100
8,33,15,23,100,100,7,13,7,29,7,13,100,100,7,56,11,3,7,56,7,56,100,100,100,100,100,100,100,100,100,100,100,100
11,49,16,48,100,100,7,29,7,55,7,29,100,100,8,15,13,31,11,3,8,15,100,100,100,100,100,100,100,100,100,100,100,100
13,29,18,43,100,100,7,55,8,3,7,55,100,100,8,55,14,26,11,58,8,55,100,100,100,100,100,100,100,100,100,100,100,100
13,53,19,23,100,100,8,33,8,24,8,3,100,100,10,31,17,20,16,17,10,39,100,100,100,100,100,100,100,100,100,100,100,100
15,23,100,100,100,100,9,24,8,24,8,13,100,100,10,39,20,4,17,57,11,3,100,100,100,100,100,100,100,100,100,100,100,100
16,48,100,100,100,100,11,49,8,33,8,24,100,100,11,3,22,0,18,25,11,51,100,100,100,100,100,100,100,100,100,100,100,100
18,43,100,100,100,100,13,13,12,12,8,24,100,100,11,31,100,100,19,21,11,58,100,100,100,100,100,100,100,100,100,100,100,100
19,23,100,100,100,100,13,29,13,13,8,33,100,100,11,51,100,100,20,56,13,31,100,100,100,100,100,100,100,100,100,100,100,100
